postcode,suburb,state,category
2795,BATHURST,NSW,Delivery Area
2795,BATHURST WEST,NSW,Delivery Area
2730,BATLOW,NSW,Delivery Area
1755,BAULKHAM HILLS,NSW,Post Office Boxes
2153,BAULKHAM HILLS,NSW,Delivery Area
2580,BAW BAW,NSW,Delivery Area
2539,BAWLEY POINT,NSW,Delivery Area
2422,BAXTERS RIDGE,NSW,Delivery Area
2261,BAY VILLAGE,NSW,Delivery Area
2104,BAYVIEW,NSW,Delivery Area
2100,BEACON HILL,NSW,Delivery Area
2015,BEACONSFIELD,NSW,Delivery Area
2469,BEAN CREEK,NSW,Delivery Area
2827,BEARBONG,NSW,Delivery Area
2577,BEAUMONT,NSW,Delivery Area
2155,BEAUMONT HILLS,NSW,Delivery Area
2665,BECKOM,NSW,Delivery Area
2340,BECTIVE,NSW,Delivery Area
2665,BECTRIC,NSW,Delivery Area
2871,BEDGERABONG,NSW,Delivery Area
2446,BEECHWOOD,NSW,Delivery Area
2119,BEECROFT,NSW,Delivery Area
2540,BEECROFT PENINSULA,NSW,Delivery Area
2680,BEELBANGERA,NSW,Delivery Area
2824,BEEMUNNEL,NSW,Delivery Area
2550,BEGA,NSW,Delivery Area
2587,BEGGAN BEGGAN,NSW,Delivery Area
2577,BELANGLO,NSW,Delivery Area
2422,BELBORA,NSW,Delivery Area
2191,BELFIELD,NSW,Delivery Area
2335,BELFORD,NSW,Delivery Area
2650,BELFRAYDEN,NSW,Delivery Area
2800,BELGRAVIA,NSW,Delivery Area
2570,BELIMBLA PARK,NSW,Delivery Area
2786,BELL,NSW,Delivery Area
2153,BELLA VISTA,NSW,Delivery Area
2518,BELLAMBI,NSW,Delivery Area
2446,BELLANGRY,NSW,Delivery Area
2397,BELLATA,NSW,Delivery Area
2535,BELLAWONGARAH,NSW,Delivery Area
2325,BELLBIRD,NSW,Delivery Area
2325,BELLBIRD HEIGHTS,NSW,Delivery Area
2440,BELLBROOK,NSW,Delivery Area
2023,BELLEVUE HILL,NSW,Delivery Area
2440,BELLIMBOPINNI,NSW,Delivery Area
2454,BELLINGEN,NSW,Delivery Area
2581,BELLMOUNT FOREST,NSW,Delivery Area
