Postcode,Suburb
3851,FLAMINGO BEACH
3031,FLEMINGTON
3929,FLINDERS
8009,FLINDERS LANE
3550,FLORA HILL
3717,FLOWERDALE
3844,FLYNN
3844,FLYNNS CREEK
3011,FOOTSCRAY
3764,FORBES
3131,FOREST HILL
3875,FORGE CREEK
3236,FORREST
3960,FOSTER
3960,FOSTER NORTH
3557,FOSTERVILLE
3805,FOUNTAIN GATE
3323,FOXHOW
3265,FRAMLINGHAM
3265,FRAMLINGHAM EAST
3461,FRANKLINFORD
3199,FRANKSTON
3199,FRANKSTON EAST
3199,FRANKSTON HEIGHTS
3200,FRANKSTON NORTH
3199,FRANKSTON SOUTH
3336,FRASER RISE
3741,FREEBURGH
3921,FRENCH ISLAND
3384,FRENCHMANS
3217,FRESHWATER CREEK
3451,FRYERSTOWN
3851,FULHAM
3825,FUMINA
3825,FUMINA SOUTH
3381,FYANS CREEK
3218,FYANSFORD
3723,GAFFNEYS CREEK
3822,GAINSBOROUGH
3568,GANNAWARRA
3737,GAPSTED
3207,GARDEN CITY
3185,GARDENVALE
3814,GARFIELD
3814,GARFIELD NORTH
3352,GARIBALDI
3265,GARVOC
3691,GATEWAY ISLAND
3407,GATUM
3289,GAZETTE
3220,GEELONG
3221,GEELONG MC
3215,GEELONG NORTH
3218,GEELONG WEST
3885,GELANTIPY
3239,GELLIBRAND
3237,GELLIBRAND LOWER
3971,GELLIONDALE
3783,GEMBROOK
3891,GENOA
3833,GENTLE ANNIE
3700,GEORGES CREEK
3546,GERAHMIN
3418,GERANG GERUNG
3249,GERANGAMETE
3387,GERMANIA
3741,GERMANTOWN
3289,GERRIGERRUP
3240,GHERANG
3331,GHERINGHAP
3717,GHIN GHIN
3851,GIFFARD
3851,GIFFARD WEST
3480,GIL GIL
3072,GILBERTON
3797,GILDEROY
3616,GILLIESTON
3858,GILLUM
3841,GIPPSLAND MC
3891,GIPSY POINT
3624,GIRGARRE
3616,GIRGARRE EAST
3437,GISBORNE
3437,GISBORNE SOUTH
3575,GLADFIELD
3043,GLADSTONE PARK
3797,GLADYSDALE
3979,GLEN ALVIE
3691,GLEN CREEK
3990,GLEN FORBES
3163,GLEN HUNTLY
3146,GLEN IRIS
3352,GLEN PARK
3898,GLEN VALLEY
3150,GLEN WAVERLEY
3898,GLEN WILLS
3238,GLENAIRE
3864,GLENALADALE
3517,GLENALBYN
3764,GLENAROUA
3352,GLENBRAE
3717,GLENBURN
3363,GLENDARUEL
3364,GLENDONALD
3858,GLENFALLOCH
3122,GLENFERRIE SOUTH
3266,GLENFYNE
3020,GLENGALA
3854,GLENGARRY
3854,GLENGARRY NORTH
3854,GLENGARRY WEST
3370,GLENGOWER
3444,GLENHOPE
3522,GLENHOPE EAST
3314,GLENISLA
3418,GLENLEE
3469,GLENLOFTY
3469,GLENLOGIE
3527,GLENLOTH
3527,GLENLOTH EAST
3451,GLENLUCE
3461,GLENLYON
3858,GLENMAGGIE
3340,GLENMORE
3385,GLENORCHY
3265,GLENORMISTON
3265,GLENORMISTON NORTH
3265,GLENORMISTON SOUTH
3469,GLENPATRICK
3675,GLENROWAN
3675,GLENROWAN WEST
3046,GLENROY
3293,GLENTHOMPSON
3851,GLOMAR BEACH
3221,GNARWARRE
3260,GNOTUK
3559,GOBARUP
3719,GOBUR
3851,GOLDEN BEACH
3555,GOLDEN GULLY
3350,GOLDEN POINT
3451,GOLDEN POINT
3465,GOLDEN POINT
3555,GOLDEN SQUARE
3435,GOLDIE
3472,GOLDSBOROUGH
3352,GONG GONG
3579,GONN CROSSING
3673,GOOMALIBEE
3875,GOON NURE
3888,GOONGERAH
3666,GOORAM
3685,GOORAMADDA
3725,GOORAMBAT
3557,GOORNONG
3477,GOOROC
3305,GORAE
3305,GORAE WEST
3345,GORDON
3873,GORMANDALE
3412,GOROKE
3585,GOSCHEN
3723,GOUGHS BAY
3608,GOULBURN WEIR
3043,GOWANBRAE
3544,GOWANFORD
3669,GOWANGARDIE
3477,GOWAR EAST
3463,GOWER
3631,GRAHAMVALE
3314,GRAMPIANS
3870,GRAND RIDGE
3335,GRANGEFIELDS
3525,GRANITE FLAT
3875,GRANITE ROCK
3984,GRANTVILLE
3701,GRANYA
3409,GRASS FLAT
3302,GRASSDALE
3281,GRASSMERE
3477,GRAYS BRIDGE
3608,GRAYTOWN
3477,GRE GRE
3477,GRE GRE NORTH
3477,GRE GRE SOUTH
